,formula_discharge,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume,weighted_score
73,Li10Fe3Ni7O20,3.657,55.387,202.544,0.211,0.250,0.023,0.009,0.004,0.558
74,Li3Fe2NiO6,4.647,93.319,433.620,0.182,0.250,0.122,0.010,0.047,0.557
75,Li4Cr3NiO8,3.779,72.350,273.418,0.200,0.250,0.067,0.017,0.004,0.555
76,Li4TiNi3O8,3.675,70.585,259.396,0.200,0.250,0.036,0.021,0.011,0.554
77,Li10CoNi9O20,3.768,54.889,206.843,0.211,0.250,0.024,0.008,0.016,0.552
78,Li4TiNi3O8,3.653,70.585,257.827,0.200,0.250,0.035,0.021,0.013,0.552
79,Li5Fe2Ni5O12,3.964,42.417,168.135,0.174,0.208,0.046,0.017,0.003,0.552
80,Li4CuNi3O8,3.681,67.786,249.528,0.200,0.250,0.033,0.018,0.016,0.551
81,Li5Cu2Ni5O12,3.804,41.408,157.534,0.174,0.208,0.028,0.013,0.007,0.549
82,Li6(NiO2)11,3.934,51.578,202.890,0.108,0.154,0.061,0.038,0.000,0.546
83,Li47(NiO4)8,2.976,225.437,670.906,0.474,0.540,0.091,0.037,0.064,0.540
84,Li7Fe3Ni(PO4)6,4.395,31.731,139.448,0.150,0.171,0.055,0.048,0.009,0.539
85,Li6NiO4,2.716,163.089,443.006,0.500,0.545,0.032,0.021,0.039,0.539
86,LiNi2P3O11,5.959,68.155,406.137,0.000,0.059,0.194,0.094,0.069,0.518
87,Li11Ti12(NiO8)4,0.928,57.534,53.381,0.143,0.186,0.000,0.077,0.001,0.432
88,Li2NiN,1.209,309.550,374.307,0.333,0.500,0.173,0.000,0.138,0.414
