,formula_discharge,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume,weighted_score
1,Li8Mn7Sn(PO4)12,4.818,126.239,608.167,0.000,0.105,0.071,0.012,0.060,0.602
2,Li2NiSnO4,3.852,104.987,404.462,0.143,0.250,0.069,0.012,0.006,0.586
3,Li2NiSnO4,3.419,104.987,358.949,0.143,0.250,0.007,0.012,0.019,0.579
4,Li2SnO3,4.657,37.103,172.797,0.304,0.333,0.051,0.000,0.005,0.577
5,Li7La3(SnO6)2,3.842,142.288,546.686,0.117,0.292,0.193,0.009,0.019,0.562
6,Li2CoSnO4,2.814,104.889,295.185,0.143,0.250,0.058,0.022,0.007,0.538
7,Li2FeSnO4,2.056,106.172,218.299,0.143,0.250,0.001,0.020,0.011,0.523
8,Li5Mn3(SnO5)2,3.011,44.899,135.185,0.211,0.250,0.060,0.017,0.002,0.510
